"Numero_expedient","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal ","Descripcio_dia_setmana","NK_Any","Mes_any","Nom_mes","Dia_mes","Hora_dia","Descripcio_torn","Descripcio_causa_conductor","Coordenada_UTM_X_ED50","Coordenada_UTM_Y_ED50","Longitud","Latitud"
"2017S005405    ",2,"Eixample",7,"la Dreta de l'Eixample",145003,"Girona","0073 0073","Dimarts","2017",6,"Juny","20","14","Desobeir semàfor","Tarda","430783.97 ","4583142.58","2.17091005843237","41.3949964638818"
"2017S004772    ",2,"Eixample",7,"la Dreta de l'Eixample",191204,"Mallorca","0265 0265","Dimecres","2017",5,"Maig","31","09","Manca d'atenció a la conducció","Matí","430097.2  ","4583030.1 ","2.16270871581513","41.3939239382537"
"2017S009147    ",2,"Eixample",7,"la Dreta de l'Eixample",71600,"Casp","0037 0037","Diumenge","2017",11,"Novembre","5","11","Desconegut","Matí","430989.25 ","4582740.71","2.17341121632572","41.3913946025085"
"2017S003105    ",2,"Eixample",7,"la Dreta de l'Eixample",31300,"Bailèn","0034 0034","Dimarts","2017",4,"Abril","4","11","Canvi de carril sense precaució","Matí","431121.38 ","4582972   ","2.17496518929176","41.3934890979098"
"2017S008825    ",2,"Eixample",5,"el Fort Pienc",169409,"Corts Catalanes","0751 0751","Dimecres","2017",10,"Octubre","25","12","No respectar distàncies","Matí","431756.38 ","4583735.55","2.18247403478390","41.4004203517973"
"2017S005264    ",2,"Eixample",7,"la Dreta de l'Eixample",71600,"Casp","0050 0050","Divendres","2017",6,"Juny","16","06","Desconegut","Matí","430965.31 ","4582701.4 ","2.17312937383580","41.3910384930186"
"2017S004564    ",2,"Eixample",7,"la Dreta de l'Eixample",74404,"Catalunya","0001 0004","Dimarts","2017",5,"Maig","23","14","Altres","Tarda","430648.25 ","4582146.83","2.16940084602519","41.3860163520859"
"2017S005015    ",2,"Eixample",7,"la Dreta de l'Eixample",74404,"Catalunya","0005 0005","Dijous","2017",6,"Juny","8","11","Manca d'atenció a la conducció","Matí","430647.33 ","4582213.25","2.16938223332967","41.3866144972922"
"2017S007105    ",2,"Eixample",7,"la Dreta de l'Eixample",148307,"Gràcia","0032 0032","Dilluns","2017",8,"Agost","21","17","Altres","Tarda","430456.33 ","4582637.21","2.16704929174175","41.3904164671925"
"2017S006245    ",2,"Eixample",5,"el Fort Pienc",144601,"Diagonal","0249 0249","Dilluns","2017",7,"Juliol","17","19","Desobeir semàfor","Tarda","431572.72 ","4583884.01","2.18026032177843","41.4017418622690"
"2017S005327    ",2,"Eixample",5,"el Fort Pienc",144601,"Diagonal","0263 0267","Diumenge","2017",6,"Juny","18","03","Manca d'atenció a la conducció","Nit","431420.81 ","4583832.37","2.17844901347683","41.4012638018749"
"2017S009887    ",2,"Eixample",7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0674 0674","Dilluns","2017",11,"Novembre","27","18","No respectar distàncies","Tarda","430884.52 ","4582809.59","2.17215075832245","41.3920059823634"
